Month,Revenue,Tax Paid
Jan 2022,4932584,887865
Feb 2022,4492583,808664
Mar 2022,4689026,844024
Apr 2022,4829681,869342
May 2022,5080423,914476
Jun 2022,4892481,880646
Jul 2022,4871008,876781
Aug 2022,5164013,929522
Sep 2022,5451850,981333
Oct 2022,6304019,1134723
Nov 2022,6447994,1160638
Dec 2022,5925106,1066519
Jan 2023,5151368,927246
Feb 2023,5228522,941133
Mar 2023,5625552,1012599
Apr 2023,5219773,939559
May 2023,5711041,1027987
Jun 2023,5322190,957994
Jul 2023,5375172,967530
Aug 2023,5884453,1059201
Sep 2023,5490137,988224
Oct 2023,6936216,1248518
Nov 2023,8160450,1468881
Dec 2023,8038848,1446992
Jan 2024,6601156,1188208
Feb 2024,6765953,1217871
Mar 2024,5725763,1030637
Apr 2024,5945196,1070135
May 2024,6889006,1240021
Jun 2024,6721993,1209958
Jul 2024,6603030,1188545
Aug 2024,5977665,1075979
Sep 2024,6376272,1147728
Oct 2024,9091250,1636425
Nov 2024,7922627,1426072
Dec 2024,9325686,1678623
Jan 2025,7002064,1260371
Feb 2025,7039091,1267036
Mar 2025,6688999,1204019
Apr 2025,6600734,1188132
May 2025,7765981,1397876
Jun 2025,7718620,1389351
Jul 2025,7915557,1424800
Aug 2025,7396890,1331440
Sep 2025,6910062,1243811
Oct 2025,10219404,1839492
Nov 2025,10386285,1869531
Dec 2025,10406387,1873149
Jan 2026,7898419,1421715
Feb 2026,7250075,1305013
