Month,Credits,Debits,Balance
Jan 2022,25612743,27144637,968106
Feb 2022,29016593,28340983,1643716
Mar 2022,25719418,26404617,958517
Apr 2022,30855655,29951266,1862906
May 2022,23536637,24316135,1083408
Jun 2022,18776827,17896131,1964104
Jul 2022,17088451,17846666,1205889
Aug 2022,17268404,17252966,1221327
Sep 2022,23313625,22910401,1624551
Oct 2022,17475048,17984760,1114839
Nov 2022,18131688,17535732,1710795
Dec 2022,9086767,9690672,1106890
Jan 2023,17411465,17221173,1297182
Feb 2023,11944094,11964951,1276325
Mar 2023,12521305,11864127,1933503
Apr 2023,8148422,9381617,700308
May 2023,7898121,6756253,1842176
Jun 2023,5481726,6563187,760715
Jul 2023,6471291,6070454,1161552
Aug 2023,6170065,5642155,1689462
Sep 2023,4880978,6328830,241610
Oct 2023,8744123,7930240,1055493
Nov 2023,7067272,6396800,1725965
Dec 2023,4167020,5036255,856730
Jan 2024,2934536,3662461,128805
Feb 2024,5919765,5213064,835506
Mar 2024,3313006,3707446,441066
Apr 2024,6484746,5265614,1660198
May 2024,2038997,2683761,1015434
Jun 2024,2908138,3431741,491831
Jul 2024,1962965,2415290,39506
Aug 2024,5286921,4274061,1052366
Sep 2024,2761458,3458186,355638
Oct 2024,4185077,2976069,1564646
Nov 2024,1450222,1926987,1087881
Dec 2024,2058705,2592128,554458
Jan 2025,1302882,1440782,416558
Feb 2025,3150065,2421720,1144903
Mar 2025,1044372,1326568,862707
Apr 2025,1253925,1686287,430345
May 2025,1084328,1233670,281003
Jun 2025,1288850,1481582,88271
Jul 2025,2900092,1357378,1630985
Aug 2025,974408,1280259,1325134
Sep 2025,869335,1053656,1140813
Oct 2025,729876,857145,1013544
Nov 2025,440682,557981,896245
Dec 2025,402757,528559,770443
Jan 2026,366075,406132,730386
Feb 2026,463704,548813,645277
